sourceLanguage 	 targetLanguage 	 sourceText 	 targetText 	 conversationId 	 direction 	 tone 	 customerId
nl 	 en 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 Thank you for contacting PRS-ORG Help! 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heet NAME-F. 	 My name is NAME-F. 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wat is jouw voornaam, als ik het vragen mag? 	 May I ask your first name? 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 NAME-M 	 NAME-M 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Hello NAME-M, nice to meet you and I hope you are doing good. 	 Hallo NAME-M, leuk je te ontmoeten. Ik hoop dat het goed met je gaat! 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 How may I assist you? 	 Hoe kan ik je helpen? 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Nou ik kam niet in de compain em web app. 	 Well, I can't go in the compain em web app. 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Hij geeft aan dat ik geen club heb maar heb ik wel 	 It indicates I don't have a club, but I do have one 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Looks like you're having issues that your game is not showing in your account. 	 Het lijkt erop dat je problemen ondervindt waarbij je game niet zichtbaar is in je account. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Am I correct? 	 Klopt dat? 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ja 	 Yes 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Hij geeft aan geen fut te hebben 	 It indicates there is no fut 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Terwijl ik op de xbox gewoon een PRS-ORG team heb 	 Whereas on the Xbox I just have a PRS-ORG team 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Ah! 	 Ah! 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 It could be concerning. 	 Dat kan reden tot bezorgdheid geven. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Don't worry! 	 Maak je geen zorgen! 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I would certainly do my best to help you with your concern in best possible way from our end. 	 Ik zal mijn best doen om je zo goed mogelijk te helpen. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 May I know your PRS-ORG and the email that is linked to your PRS-ORG Account? 	 Mag ik je gamertag en het e-mailadres weten dat aan je PRS-ORG-account is gekoppeld? 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 EMAIL 	 EMAIL 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 ALPHANUMERICID, maar weet ik niet zeker 	 ALPHANUMERICID, but I'm not sure 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thanks for the information. 	 Bedankt voor de informatie. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I would like to inform you that your PRS-ORG is not linked to this email. 	 Ik wil je graag meedelen dat je PRS-ORG niet aan deze e-mail is gekoppeld. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 May I know all possible emails linked to your PRS-ORG Account? 	 Mag ik alle mogelijke e-mails weten die aan je PRS-ORG-account zijn gekoppeld? 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ohja klopt mijn xbox is gekoppeld aan EMAIL 	 Oh right, my Xbox is linked to EMAIL 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Klopt deze wel 	 Is this one correct 	 6435a018dafe6942c7ed1910 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I will be asking for some information about your PRS-ORG account, in order to verify it. 	 Ik zal om wat informatie over je PRS-ORG-account vragen voor verificatie. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Here's all I need: 	 Dit is alles wat ik nodig heb: 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Please provide the below information as updated on the account we are trying to recover. 	 Geef alsjeblieft de onderstaande informatie die is bijgewerkt voor het account dat we proberen te herstellen. 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Please note the IP required is IPv4 from this website URL 	 Houd er rekening mee dat het vereiste IP-adres IPv4 van deze website URL is 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 i) IP address (network where you play on): ii) Date of birth (provided during account creation): iii) One purchase on account and purchase date (month/year): iv) Last 4 digits of credit card: v) Billing address: vi) Phone number: 	 i) IP-adres (netwerk waarop je speelt): ii) Geboortedatum (verstrekt tijdens het aanmaken van een account): iii) Een aankoop op je account en aankoopdatum (maand/jaar): iv) Laatste 4 cijfers van de creditcard: v) Factuuradres: vi) Telefoonnummer: 	 6435a018dafe6942c7ed1910 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 Thank you for contacting PRS-ORG Help! 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heet NAME-M. 	 My name is NAME-M. 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wat is jouw voornaam, als ik het vragen mag? 	 May I ask your first name? 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Goedendag het opzeggen van mijn PRS-ORG account lukt niet als ik dit kies op jullie site krijg ik een blanke pagina 	 Hello, I can't cancel my PRS-ORG account, when I choose to do this on your site, I get a blank page 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heb inmiddels hierdoor het bedrag gestoneerd van de bank 	 I have now reversed the amount from the bank 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Hello there! 	 Hallo! 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 hope you are doing good. 	 Ik hoop dat het goed met je gaat. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Graag verder geen afschrijvingen van mijn rekening 	 Please cancel any additional direct debits from my account 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Just to confirm do you want to delete your PRS-ORG account? 	 Ter bevestiging, wil je je PRS-ORG-account verwijderen? 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik wil de automatische afschrijving stoppen 	 I want to stop the direct debit 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 het gaat om 3.99 Euro per maand 	 it concerns 3.99 Euro per month 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 No worries, let me help you get the PRS-ORG subscription cancelled. 	 Geen probleem, laat me je helpen het PRS-ORG-abonnement te annuleren. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Sounds good? 	 Is dat goed? 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Graag even uw bevestiging als de automatische incasso gecanceld is 	 Please confirm if the direct debit has been cancelled 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Please allow me a moment. 	 Een moment alsjeblieft. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thank you for your patience! 	 Bedankt voor je geduld. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Is there anything else I can assist you with? 	 Kan ik je verder nog ergens mee helpen? 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I've cancelled the PRS-ORG subscription and now no amount will be deducted from your account. 	 Ik heb het PRS-ORG-abonnement geannuleerd en nu wordt er geen bedrag meer afgetrokken van je account. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 ok hartelijk dank voor uw snelle actie! 	 ok, thank you very much for your prompt action! 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 toto de volgende keer! 	 see you next time! 	 620b84f3aa328b10acf2a6f9 	 customer 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 It was my pleasure to help you out today. 	 Het was mij een genoegen je vandaag te helpen. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 I do appreciate your time. 	 Bedankt voor je tijd. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Thank you for contacting PRS-ORG help. 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help. 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
en 	 nl 	 Have a great time ahead! 	 Ik wens je nog een fijne tijd! 	 620b84f3aa328b10acf2a6f9 	 agent 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Bedankt dat je contact hebt opgenomen met PRS-ORG Help! 	 Thank you for contacting PRS-ORG Help! 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heet NAME-N. 	 My name is NAME-N. 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Wat is jouw voornaam, als ik het vragen mag? 	 May I ask your first name? 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Goedenavond, 	 Good evening, 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Ik heb per ongeluk 2200 PRS-ORG punten gekocht voor PRS-ORG maar dit had voor PRS-ORG moeten zijn. 	 I accidentally bought 2200 PRS-ORG points for PRS-ORG but this should have been for PRS-ORG . 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
nl 	 en 	 Kunnen jullie dit overzetten? 	 Can you transfer these? 	 633344ecc8e847059a0a6ffc 	 customer 	 informal 	 0015800001EMz0vAAD
